Time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12
166,20.0243407,-11.22479162,-2.282050261,-0.375822668,-17.4799973,-3.015776785,-20.55938225,-22.81754893,-21.93609163,-12.73805335,-32.00635414,-32.49450003
168,6.047435133,-15.21062866,-34.25602271,-12.3414649,7.548865308,-12.0029376,-14.52048712,-30.76858486,-25.88386289,3.303719178,-11.00395622,-13.45302267
170,-5.929470437,-14.19646571,3.770004841,21.69289286,8.577727916,4.00990159,-23.48159199,-28.71962079,-38.83163415,-11.6545083,-1.0015583,-5.411545322
172,-16.90637601,-33.18230276,-22.20396761,10.72725062,-2.393409475,18.02274078,2.557303146,-27.67065672,-19.77940541,-3.612735775,-0.999160378,-14.37006797
174,-18.88328158,7.831860195,-23.17794006,-1.238391612,-5.364546867,-16.96442004,-9.40380172,-19.62169265,-18.72717667,-4.570963251,-10.99676246,-10.32859062
176,-5.860187148,-3.153976852,-26.15191251,8.795966152,20.66431574,-2.951580849,-14.36490659,-21.57272857,-37.67494793,-16.52919073,0.005635465,-11.28711326
178,1.162907281,-13.1398139,-21.12588496,23.83032392,3.69317835,-11.93874166,-19.32601145,-26.5237645,-11.62271919,-18.4874182,-15.99196661,-25.24563591
180,16.18600171,-12.12565095,-16.0998574,22.86468168,10.72204096,5.074097526,-23.28711632,-32.47480043,-14.57049045,2.554354321,-15.98956869,-33.20415856
182,17.20909614,9.888512006,-10.07382985,23.89903944,1.750903567,-1.913063287,-42.24822119,-20.42583636,-17.51826171,-11.40387316,-15.98717077,-35.16268121
184,-5.76780943,4.902674959,-7.047802302,17.93339721,-6.220233825,2.0997759,-22.20932605,-41.37687229,-29.46603297,-9.362100632,-14.98477285,-18.12120385
186,8.255284999,-15.08316209,-9.021774751,25.96775497,0.808628784,2.112615087,-11.17043092,-26.32790822,-1.413804229,-14.32032811,-31.98237493,-11.0797265
188,7.278379429,-17.06899914,-12.9957472,22.00211274,26.83749139,-15.87454573,-13.13153579,-32.27894415,-5.361575489,-20.27855558,-0.979977006,-18.03824915
190,-11.69852614,-2.054836183,-16.96971965,28.0364705,3.866354,-23.86170654,-13.09264065,-27.22998008,-4.30934675,13.76321694,-0.977579084,-11.9967718
192,10.32456829,-18.04067323,-17.9436921,19.07082826,8.895216609,-28.84886735,-25.05374552,-30.18101601,5.74288199,2.804989464,-6.975181163,-23.95529444
194,-5.652337283,-4.026510277,-16.91766455,30.10518603,5.924079217,-0.836028164,-21.01485038,-21.13205194,10.79511073,-8.153238012,-25.97278324,-33.91381709
196,-18.62924285,-14.01234732,-7.891636996,30.13954379,24.95294183,-8.823188977,-5.975955251,-26.08308787,31.84733947,-9.111465489,-21.97038532,-20.87233974
198,-0.606148423,-22.99818437,-21.86560944,-5.826098444,5.981804434,-2.81034979,-7.937060118,-16.0341238,53.89956821,-5.069692965,-11.9679874,-20.83086239
200,10.41694601,-0.984021419,-26.83958189,50.20825932,21.01066704,-9.797510602,-9.898164984,-26.98515973,37.95179695,-2.027920441,-7.965589477,-23.78938503
202,-20.55995956,-14.96985847,-26.81355434,21.24261708,4.039529651,-17.78467142,-30.85926985,-26.93619566,54.00402569,2.013852083,-20.96319155,-2.74790768
204,0.463134865,-2.955695513,-25.78752679,27.27697485,4.068392259,5.228167772,-19.82037472,-1.887231585,46.05625443,10.05562461,11.03920637,-28.70643033
206,4.486229295,-6.94153256,-8.761499241,36.31133261,10.09725487,-18.75899304,-22.78147958,-23.83826751,51.10848317,6.097397131,8.041604288,-39.66495297
208,-16.49067628,-16.92736961,-11.73547169,28.34569038,20.12611748,-27.74615385,-16.74258445,-42.78930344,66.16071191,-18.86083035,-20.95599779,-26.62347562
210,-8.467581846,-12.91320665,-5.709444139,7.38004814,-10.84501992,14.26668533,-7.703689317,-5.740339373,46.21294065,-2.819057822,-6.953599869,-2.58199827
212,-9.444487417,-33.8990437,-15.68341659,42.4144059,11.18384269,-6.720475479,-6.664794183,-22.6913753,49.26516939,2.222714702,-0.951201947,6.459479083
214,-4.421392987,-25.88488075,17.34261096,14.44876367,-7.787294699,-6.707636292,-26.62589905,-22.64241123,62.31739813,-2.735512774,0.051195974,-1.499043564
216,-26.39829856,-5.870717796,-11.63136149,14.48312143,-0.75843209,0.305202895,-15.58700392,-6.593447161,60.36962687,-1.69374025,-3.946406104,-29.45756621
218,-11.37520413,-15.85655484,-24.60533393,16.5174792,-5.729569482,5.318042082,-31.54810878,-20.54448309,43.42185561,11.34803227,-2.944008182,-16.41608886
220,-10.3521097,-13.84239189,-17.57930638,22.55183696,10.29929313,-12.66911873,-16.50921365,-13.49551902,59.47408435,-14.6101952,-10.94161026,-25.37461151
222,-7.329015269,-17.82822894,-25.55327883,-3.413805276,-2.671844265,-0.656279543,-4.470318516,-19.44655495,53.52631309,10.43157732,-22.93921234,-17.33313415
224,-20.30592084,-13.81406598,-13.52725128,18.62055249,1.357018344,-5.643440356,-10.43142338,-51.39759088,40.57854183,3.473349845,-5.936814418,-7.291656801
226,-11.28282641,-30.79990303,-9.501223731,23.65491025,-11.61411905,3.369398831,-14.39252825,-24.34862681,45.63077057,-5.484877631,-9.934416496,-38.25017945
228,-12.25973198,-5.785740079,-21.47519618,31.68926802,14.41474356,-6.617761982,-19.35363312,-24.29966274,45.68299931,-29.44310511,-12.93201857,-22.2087021
230,-4.236637551,4.228422874,-20.44916863,34.72362578,5.443606169,3.395077205,-16.31473798,-7.250698667,44.73522805,-4.401332583,-13.92962065,-44.16722474
232,-21.21354312,10.24258583,1.576858922,33.75798354,0.472468777,-6.592083608,-15.27584285,1.798265404,55.78745679,-17.35956006,-12.92722273,-14.12574739
234,-5.190448691,-11.74325122,13.60288647,20.79234131,4.501331386,-21.57924442,-23.23694771,-18.15277053,58.83968553,-0.317787536,-14.92482481,-2.084270038
236,1.832645738,-16.72908827,6.628914024,30.82669907,17.53019399,-8.566405233,-21.19805258,-16.10380645,55.89191427,-18.27601501,-15.92242689,-13.04279269
238,-8.144259832,-9.714925315,-2.345058425,9.861056836,20.5590566,-24.55356605,-13.15915745,-16.05484238,75.94414301,15.76575751,-17.92002897,-21.00131533
240,-4.121165403,-12.70076236,-0.319030874,16.8954146,-3.412080789,-13.54072686,-18.12026231,-11.00587831,75.99637175,7.807530036,2.082368955,-28.95983798
242,2.901929027,-25.68659941,-3.293003323,5.929772364,-8.383218181,-7.527887672,-18.08136718,-21.95691424,52.04860049,13.84930256,-18.91523312,-37.91836063
244,-5.074976544,-28.67243646,14.73302423,15.96413013,3.645644428,-18.51504848,-5.042472047,-6.907950172,47.10082923,13.89107508,-6.912835202,-8.876883275
246,-6.051882114,1.341726496,4.759051779,19.99848789,21.67450704,-21.5022093,6.996423086,-2.858986101,47.15305797,-4.067152393,-14.91043728,-24.83540592
248,-9.028787685,-15.64411055,21.78507933,35.03284566,-13.29663036,8.51062989,-18.96468178,-3.810022031,73.20528671,-9.025379869,-5.908039359,-15.79392857
250,-21.00569325,-26.6299476,21.81110688,6.06720342,5.732232253,-20.47653092,-5.925786647,20.23894204,37.25751545,-9.983607345,-13.90564144,-27.75245122
252,-4.982598825,-0.615784646,26.83713443,21.10156118,9.761094861,16.53630826,-25.88689151,32.28790611,51.30974419,6.058165179,2.096756484,-10.71097386
254,-8.959504396,2.398378307,22.86316198,27.13591895,18.78995747,2.549147451,-10.84799638,26.33687018,61.36197293,-11.9000623,-7.900845594,-4.669496512
256,15.06359003,-5.58745874,15.88918953,20.17027671,4.818820078,3.561986639,-7.809101246,56.38583425,58.41420167,-22.85828977,-23.89844767,-31.62801916
258,7.086684463,-20.57329579,27.91521709,21.20463448,1.847682687,-12.42517417,4.229793888,54.43479832,33.46643041,-6.81651725,-13.89604975,-18.58654181
260,-17.89022111,-4.559132834,23.94124464,19.23899224,-8.123454705,-10.41233499,-7.731310979,53.48376239,50.51865915,24.22525527,-1.89365183,-4.545064454
262,-4.867126678,-7.544969881,7.967272187,12.27335,-4.094592096,0.6005042,-1.692415845,32.53272646,39.57088789,-26.7329722,-7.891253908,-27.5035871
264,-9.844032248,-1.530806929,12.99329974,7.307707768,-7.065729488,-21.38665661,-23.65352071,50.58169053,60.62311663,-0.691199678,-34.88885599,-30.46210975
266,-0.820937819,-8.516643976,15.01932729,30.34206553,14.96313312,-11.37381743,-9.614625578,66.63065461,44.67534537,2.350572846,-23.88645806,-25.4206324
268,17.20215661,-7.502481023,6.045354841,27.3764233,24.99199573,-5.360978238,-15.57573044,56.67961868,68.72757411,7.39234537,-6.884060143,-19.37915504
270,-6.774748959,15.51168193,13.07138239,38.41078106,0.020858337,-7.348139051,-8.536835311,34.72858275,43.77980285,20.43411789,-20.88166222,2.662322309
272,-6.75165453,15.52584488,47.09740994,32.44513882,-8.950279054,3.664700136,-19.49794018,45.77754682,33.83203159,-12.52410958,13.1207357,-20.29620034
274,12.2714399,20.54000784,29.12343749,22.47949659,-7.921416446,-27.32246068,-12.45904504,57.82651089,49.88426033,-0.482337059,-9.876866379,-15.25472299
276,13.29453433,24.55417079,28.14946504,16.51385435,17.10744616,-6.30962149,-15.42014991,68.87547496,54.93648907,0.559435465,-12.87446846,-14.21324563
278,32.31762876,29.56833374,24.1754926,12.54821212,-3.863691229,-12.2967823,-24.38125478,45.92443903,31.98871781,-13.39879201,-10.87207054,-13.17176828
280,1.340723188,21.58249669,30.20152015,6.58256988,-12.83482862,-9.283943115,-22.34235964,48.9734031,48.04094655,-1.357019487,-15.86967261,-7.130290928
282,13.36381762,9.596659647,15.2275477,24.61692764,-8.805966012,-12.27110393,-17.30346451,71.02236717,59.09317529,2.684753036,-24.86727469,-18.08881358
284,23.38691205,24.6108226,29.25357525,10.65128541,0.222896596,-9.258264741,-14.26456938,47.07133124,41.14540403,14.72652556,-5.864876771,-26.04733622
286,15.41000648,27.62498555,41.2796028,25.68564317,0.251759205,-9.245425554,-14.22567424,44.12029531,41.19763277,-3.231701916,-15.86247885,-29.00585887
288,9.433100907,17.63914851,21.30563035,33.72000094,-4.719378187,-6.232586366,-6.18677911,47.16925938,40.24986151,3.810070608,-8.860080928,0.035618483
290,13.45619534,10.65331146,15.3316579,18.7543587,-2.690515578,-7.219747179,-24.14788398,45.21822345,43.30209025,3.851843132,-15.85768301,-17.92290416
292,21.47928977,21.66747441,14.35768545,13.78871646,5.33834703,2.793092008,-12.10898884,53.26718752,42.35431899,5.893615656,-7.855285085,-29.88142681
294,-4.497615805,23.68163736,39.383713,25.82307423,7.367209638,-15.1940688,-9.070093709,57.3161516,54.40654773,7.935388179,3.147112837,-24.83994946
296,4.525478625,36.69580032,12.40974055,3.857431992,9.396072247,-22.18122962,-32.03119858,61.36511567,46.45877647,-0.022839297,-19.85048924,-10.79847211
298,14.54857305,26.70996327,16.43576811,43.89178976,-7.575065145,-27.16839043,-24.99230344,47.41407974,55.51100521,-8.981066773,5.15190868,-7.756994754
300,15.57166748,22.72412622,26.46179566,24.92614752,-12.54620254,-13.15555124,-7.953408309,36.46304381,36.56323395,-20.93929425,-3.845693398,-19.7155174
302,1.594761913,18.73828917,32.48782321,27.96050528,-0.517339928,5.857287944,-9.914513175,55.51200788,41.61546269,17.10247827,-25.84329548,-0.674040049
304,30.61785634,22.75245213,19.51385076,21.99486305,2.51152268,0.870127131,-14.87561804,60.56097195,22.66769143,11.1442508,-10.84089756,-18.6325627
306,17.64095077,19.76661508,2.53987831,34.02922081,-2.459614711,-6.117033682,-18.83672291,71.60993602,51.71992017,14.18602332,10.16150037,-8.591085344
308,8.664045202,19.78077803,20.56590586,14.06357858,1.569247897,-5.104194495,-26.79782777,64.65890009,70.77214891,-9.772204154,-25.83610171,-11.54960799
310,14.68713963,10.79494099,37.59193341,6.09793634,-10.40188949,-6.091355307,-15.75893264,56.70786416,44.82437765,-15.73043163,2.166296209,-28.50813064
312,25.71023406,31.80910394,36.61796096,23.1322941,-4.373026886,4.92148388,-9.720037508,58.75682823,51.87660639,-22.68865911,9.168694131,-2.466653286
314,16.73332849,14.82326689,35.64398851,-8.833348132,-3.344164277,11.93432307,6.318857626,60.8057923,33.92883513,5.353113418,-11.82890795,-15.42517593
316,16.75642292,27.83742984,24.67001606,13.20100963,7.684698331,-8.052837746,12.35775276,53.85475637,48.98106387,8.394885942,-8.826510026,-4.383698581
318,-4.22048265,20.8515928,21.69604362,11.2353674,9.713560939,0.960001441,22.39664789,57.90372044,27.03329261,-1.563341535,-3.824112104,-21.34222123
320,21.80261178,16.86575575,45.72207117,15.26972516,12.74242355,0.972840628,25.43554303,43.95268451,45.08552135,23.47843099,-10.82171418,-10.30074388
322,16.82570621,19.8799187,28.74809872,13.30408292,-17.22871384,10.98567982,70.47443816,63.00164858,41.13775009,-7.479796487,-10.81931626,3.740733477
324,11.84880064,20.89408166,23.77412627,13.33844069,12.80014876,-11.001481,47.51333329,42.05061266,46.18997883,-1.438023963,-16.81691834,-25.21778917
326,7.871895068,26.90824461,34.80015382,7.372798452,-9.170988627,-10.98864181,59.55222843,45.09957673,57.24220757,-8.396251439,11.18547958,-0.176311817
