DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,
Date:, November 21 2024 13:23:20,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,
,,,,,,,
,,,,,,,
Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable
,,,,,,,
integer,id,ID of each record,,,,,
double,Cell ID: 106 (X): T (msec),(X): Cell ID: 106 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 106 (Y),Raw Ci on CYm API F(t) for Cell ID: 106 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (X): T (msec),(X): Cell ID: 115 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (Y),Raw Ci on CYm API F(t) for Cell ID: 115 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (X): T (msec),(X): Cell ID: 117 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (Y),Raw Ci on CYm API F(t) for Cell ID: 117 (Y),,TRUE,FALSE,FALSE,
,,,,,,,
,,,,,,,
id,Cell ID: 106 (X): T (msec),Cell ID: 106 (Y),Cell ID: 115 (X): T (msec),Cell ID: 115 (Y),Cell ID: 117 (X): T (msec),Cell ID: 117 (Y),
282,2812.81,133.0707031,2812.81,127.1929653,2812.81,129.1821862,
283,2822.82,133.2050781,2822.82,127.1057645,2822.82,129.7894737,
284,2832.83,133.0716797,2832.83,126.9294089,2832.83,130.0161943,
285,2842.84,132.7484375,2842.84,126.8798241,2842.84,128.8097166,
286,2852.85,132.846875,2852.85,126.9179287,2852.85,129.048583,
287,2862.86,132.5511719,2862.86,127.0989253,2862.86,130.0121457,
288,2872.87,132.7396484,2872.87,126.994382,2872.87,128.4453441,
289,2882.88,132.4542969,2882.88,127.1035662,2882.88,129.5101215,
290,2892.89,132.4148438,2892.89,126.876893,2892.89,128.8299595,
291,2902.9,132.3113281,2902.9,126.7552516,2902.9,129.5587045,
292,2912.91,132.8222656,2912.91,127.0212506,2912.91,128.8461538,
293,2922.92,132.8349609,2922.92,126.6995603,2922.92,128.7530364,
294,2932.93,133.0404297,2932.93,126.9675134,2932.93,128.7246964,
295,2942.94,132.8412109,2942.94,126.7835857,2942.94,128.1700405,
296,2952.95,132.8277344,2952.95,127.1294577,2952.95,129.2307692,
297,2962.96,132.7234375,2962.96,127.1045432,2962.96,128.9959514,
298,2972.97,132.8222656,2972.97,127.3864191,2972.97,128.5101215,
